"ID","condition","Interview_nr","sos_training","adherence","int_sum","crit_sum","Introduction","Free_recall","Approach","Structure","Challenge_inconsistencies","Request_explanation","Follow_matrix","Reinforce_truth","Change_topic","Specific_questions","Specific_questions_R","NA"
1,"Basic",1,0,11,2,0,4,1,2,1,0,0,0,0,0,0,4,NA
1,"Basic",2,0,17,7,0,4,1,1,2,2,2,2,1,1,0,4,NA
1,"Basic",3,0,22,6,1,4,1,4,2,2,3,3,1,2,0,4,NA
1,"Basic",4,0,19,2,0,4,1,2,1,2,3,3,1,2,0,4,NA
2,"Basic",1,0,17,9,0,4,1,4,2,0,0,0,0,3,0,4,NA
2,"Basic",2,0,13,1,0,4,1,4,1,0,0,0,0,0,0,4,NA
2,"Basic",3,0,14,7,0,4,1,4,1,0,0,0,0,1,0,4,NA
2,"Basic",4,0,13,10,1,4,1,4,1,0,0,0,0,1,1,3,NA
3,"SoS",1,1,27,17,5,3,1,4,4,4,4,4,1,4,1,3,NA
3,"SoS",2,1,26,2,1,3,1,4,4,3,4,3,0,4,0,4,NA
3,"SoS",3,1,26,16,2,3,1,4,4,4,3,3,1,4,1,3,NA
3,"SoS",4,1,22,7,1,3,1,2,4,4,3,2,1,3,2,2,NA
4,"Basic",1,0,14,6,2,4,1,2,2,2,1,2,1,1,3,1,NA
4,"Basic",2,0,10,2,0,3,1,2,2,2,0,2,0,1,4,0,NA
4,"Basic",3,0,10,1,1,4,1,2,2,1,0,1,0,1,4,0,NA
4,"Basic",4,0,8,4,0,3,1,2,2,1,0,1,0,0,4,0,NA
5,"Basic",1,0,13,7,2,4,1,4,1,0,0,0,0,0,0,4,NA
5,"Basic",2,0,20,2,0,4,1,4,3,2,1,3,0,2,0,4,NA
5,"Basic",3,0,20,2,1,4,1,4,2,2,2,3,0,2,0,4,NA
5,"Basic",4,0,17,5,1,3,1,3,2,2,3,2,0,1,1,3,NA
6,"Basic",1,0,13,0,0,4,1,4,0,0,0,0,0,1,0,4,NA
6,"Basic",2,0,13,2,1,4,1,3,0,0,0,0,0,3,1,3,NA
7,"SoS",1,1,18,7,0,4,1,2,2,4,3,1,0,0,1,3,NA
7,"SoS",2,1,20,3,0,4,1,2,2,4,3,1,1,1,1,3,NA
7,"SoS",3,1,19,1,0,4,1,2,3,4,2,3,0,0,0,4,NA
7,"SoS",4,1,20,8,0,4,1,2,3,3,1,2,4,0,1,3,NA
8,"Basic",1,0,13,2,1,4,1,4,1,0,0,0,0,1,1,3,NA
8,"Basic",2,0,13,0,0,4,1,4,1,0,0,0,0,1,1,3,NA
8,"Basic",3,0,16,12,3,4,1,4,1,0,0,0,0,4,1,3,NA
8,"Basic",4,0,12,2,1,4,1,4,1,0,0,0,0,0,1,3,NA
9,"SoS",1,1,23,13,0,4,1,4,3,4,4,3,0,1,1,3,NA
9,"SoS",2,1,22,0,0,4,1,4,3,4,3,3,0,0,0,4,NA
9,"SoS",3,1,24,11,1,4,1,4,3,4,4,2,1,1,1,3,NA
9,"SoS",4,1,24,14,1,4,1,4,3,4,4,2,0,1,0,4,NA
10,"SoS",1,1,15,3,2,4,1,3,2,1,1,1,0,0,0,4,NA
10,"SoS",2,1,NA,0,0,4,1,4,NA,NA,NA,NA,NA,0,0,4,NA
10,"SoS",3,1,23,14,1,4,1,4,3,3,2,3,2,1,0,4,NA
10,"SoS",4,1,19,19,3,4,1,3,3,2,2,2,1,1,1,3,NA
11,"SoS-Delay",1,0,10,1,1,3,1,3,0,0,0,0,0,0,0,4,NA
11,"SoS-Delay",2,0,11,0,0,3,0,4,0,0,0,0,0,0,0,4,NA
11,"SoS-Delay",3,1,16,3,0,3,1,4,2,2,1,1,0,0,0,4,NA
11,"SoS-Delay",4,1,19,2,2,4,1,3,2,2,1,1,0,3,0,4,NA
12,"Basic",1,0,12,1,0,3,1,4,0,0,0,0,0,1,0,4,NA
12,"Basic",2,0,18,1,0,4,1,4,2,2,2,2,0,0,0,4,NA
12,"Basic",3,0,14,7,1,3,1,4,1,1,1,1,0,0,0,4,NA
12,"Basic",4,0,15,8,1,4,1,4,2,0,0,0,0,1,0,4,NA
13,"SoS-Delay",1,0,15,4,0,4,1,4,1,0,0,1,0,3,1,3,NA
13,"SoS-Delay",2,0,14,1,0,3,1,3,1,0,1,1,0,3,1,3,NA
13,"SoS-Delay",3,1,20,25,5,4,1,4,2,1,1,1,1,4,1,3,NA
13,"SoS-Delay",4,1,28,2,0,4,1,4,4,4,4,2,1,4,1,3,NA
14,"SoS-Delay",1,0,12,6,1,4,1,4,2,0,0,0,0,1,3,1,NA
14,"SoS-Delay",2,0,14,8,2,4,1,4,2,0,0,0,0,1,1,3,NA
14,"SoS-Delay",3,1,28,13,1,4,1,4,4,4,4,4,0,4,0,4,NA
14,"SoS-Delay",4,1,26,15,3,4,1,4,4,3,3,3,0,4,0,4,NA
15,"SoS",1,1,11,2,0,3,1,3,0,0,1,0,0,1,1,3,NA
15,"SoS",2,1,16,4,2,3,1,2,2,3,2,2,0,1,1,3,NA
15,"SoS",3,1,17,10,2,4,1,3,2,2,1,1,0,2,1,3,NA
15,"SoS",4,1,15,1,0,3,1,1,2,4,2,1,0,0,1,3,NA
16,"Basic",1,0,16,9,3,3,1,2,1,2,2,3,0,4,2,2,NA
16,"Basic",2,0,15,2,0,3,1,4,1,1,1,1,0,1,0,4,NA
16,"Basic",3,0,18,6,3,3,1,4,2,1,1,1,0,3,0,4,NA
16,"Basic",4,0,13,4,0,3,1,4,1,0,0,0,0,1,0,4,NA
17,"SoS-Delay",1,0,10,14,0,4,1,3,1,0,0,0,0,0,2,2,NA
17,"SoS-Delay",2,0,11,2,0,4,1,1,1,1,1,2,0,0,1,3,NA
17,"SoS-Delay",3,1,24,15,3,3,1,4,4,4,4,3,0,1,0,4,NA
17,"SoS-Delay",4,1,19,2,0,4,1,4,4,3,1,2,0,0,1,3,NA
18,"SoS",1,1,26,13,1,4,1,3,4,4,4,2,0,4,1,3,NA
18,"SoS",2,1,21,1,0,4,1,3,4,3,3,3,0,0,0,4,NA
18,"SoS",3,1,26,16,2,4,1,3,4,4,3,2,0,4,0,4,NA
18,"SoS",4,1,27,14,4,4,1,3,4,4,4,4,0,4,0,4,NA
19,"SoS",1,1,9,9,1,2,0,1,1,2,1,1,0,1,3,1,NA
19,"SoS",2,1,4,4,1,2,0,0,1,1,0,1,0,0,4,0,NA
19,"SoS",3,1,7,0,0,1,0,0,1,1,0,1,0,0,0,4,NA
19,"SoS",4,1,7,14,1,2,1,1,1,0,1,0,0,1,3,1,NA
20,"SoS-Delay",1,0,11,3,2,4,1,3,1,1,0,1,0,0,2,2,NA
20,"SoS-Delay",2,0,13,2,1,4,1,4,1,0,0,0,0,0,0,4,NA
20,"SoS-Delay",3,1,16,6,4,4,1,4,2,2,2,1,0,0,2,2,NA
20,"SoS-Delay",4,1,23,16,5,4,1,4,4,2,2,2,1,2,0,4,NA
21,"Basic",1,0,11,2,1,3,0,4,0,0,0,0,0,0,0,4,NA
21,"Basic",2,0,12,3,1,4,1,4,0,0,0,0,0,0,0,4,NA
21,"Basic",3,0,14,15,6,3,0,3,1,0,0,0,0,3,0,4,NA
21,"Basic",4,0,17,3,1,4,1,4,2,0,0,0,0,3,0,4,NA
22,"SoS-Delay",1,0,11,11,0,4,1,3,1,0,0,0,0,1,2,2,NA
22,"SoS-Delay",2,0,14,3,1,4,1,3,1,1,1,1,0,1,1,3,NA
22,"SoS-Delay",3,1,17,4,0,4,1,2,3,2,3,2,0,0,1,3,NA
22,"SoS-Delay",4,1,13,8,0,4,1,1,1,2,2,2,0,0,1,3,NA
23,"SoS",1,1,18,3,0,4,1,2,2,0,3,0,2,1,0,4,NA
23,"SoS",2,1,24,6,2,3,1,3,3,4,4,4,0,4,1,3,NA
23,"SoS",3,1,22,3,0,4,1,3,2,3,4,2,0,2,0,4,NA
23,"SoS",4,1,23,9,1,3,1,3,4,4,4,3,0,1,0,4,NA
24,"Basic",1,0,17,5,0,4,1,4,1,0,0,0,0,4,0,4,NA
24,"Basic",2,0,17,2,0,4,1,4,1,0,0,0,0,4,0,4,NA
24,"Basic",3,0,15,10,2,4,1,3,2,0,1,0,0,4,3,1,NA
24,"Basic",4,0,12,3,1,4,1,2,2,3,1,2,0,0,4,0,NA
25,"SoS",1,1,10,1,0,3,1,3,1,0,0,0,0,0,1,3,NA
25,"SoS",2,1,6,6,1,3,0,1,1,1,0,1,0,0,4,0,NA
25,"SoS",3,1,5,7,1,3,0,1,1,0,0,0,0,0,4,0,NA
25,"SoS",4,1,NA,0,0,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"SoS-Delay",1,0,12,5,2,3,1,4,1,0,0,0,0,0,0,4,NA
26,"SoS-Delay",2,0,14,6,2,3,1,4,1,0,0,0,0,2,0,4,NA
26,"SoS-Delay",3,1,21,11,0,3,1,4,4,2,2,2,1,1,0,4,NA
26,"SoS-Delay",4,1,23,17,6,3,1,4,4,0,0,0,4,4,0,4,NA
27,"SoS-Delay",1,0,11,5,1,4,1,4,0,0,0,0,0,0,1,3,NA
27,"SoS-Delay",2,0,11,5,1,4,1,3,0,0,0,0,0,0,0,4,NA
27,"SoS-Delay",3,1,18,11,1,4,1,4,3,1,2,2,0,1,1,3,NA
27,"SoS-Delay",4,1,11,6,1,4,1,2,1,0,0,0,0,1,1,3,NA
28,"SoS",1,1,18,8,1,3,1,2,2,3,1,2,0,4,1,3,NA
28,"SoS",2,1,11,9,1,3,1,0,2,2,0,2,0,2,2,2,NA
28,"SoS",3,1,11,10,0,3,0,0,2,2,0,2,0,4,4,0,NA
28,"SoS",4,1,10,10,2,2,1,0,2,2,0,1,0,4,4,0,NA
29,"SoS-Delay",1,0,9,11,1,4,0,1,1,0,1,0,0,0,2,2,NA
29,"SoS-Delay",2,0,14,4,1,3,0,4,0,1,0,1,0,2,0,4,NA
29,"SoS-Delay",3,1,14,9,1,4,1,3,2,0,0,0,2,3,4,0,NA
29,"SoS-Delay",4,1,16,9,0,4,1,3,2,2,0,2,1,4,4,0,NA
30,"SoS-Delay",1,0,12,1,0,4,1,4,2,0,0,0,0,0,2,2,NA
30,"SoS-Delay",2,0,14,3,0,4,1,4,3,0,0,0,0,0,1,3,NA
30,"SoS-Delay",3,1,21,8,0,4,1,3,4,2,0,2,1,4,1,3,NA
30,"SoS-Delay",4,1,22,4,0,4,1,4,4,3,0,3,0,3,0,4,NA
31,"SoS-Delay",1,0,12,9,0,3,1,4,1,0,0,0,0,1,1,3,NA
31,"SoS-Delay",2,0,12,3,2,4,1,4,1,0,0,0,0,0,1,3,NA
31,"SoS-Delay",3,1,15,3,0,4,1,3,3,2,2,2,0,0,3,1,NA
31,"SoS-Delay",4,1,13,4,1,4,1,2,2,2,2,2,0,0,3,1,NA
