StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,consent,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,entrance,pass_1,timing_mc3a_First Click,timing_mc3a_Last Click,timing_mc3a_Page Submit,timing_mc3a_Click Count,confidence,motivation,pass_4,interview_statements_1,interview_statements_2,interview_statements_3,interview_statements_4,"knowledge_before
",new_info,"strategy
",strategy_free,"change_strategy ",change_strategy_free,interview_adj_1,interview_adj_2,interview_adj_3,interview_adj_4,interview_adj_5,interview_adj_6,interviewer_adj_1,interviewer_adj_2,interviewer_adj_3,interviewer_adj_4,interviewer_adj_5,interviewer_adj_6,engagement,age,gender,cond
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,"The only requirement for participation in this study is that you are an adult (18 years or older). 

 

Purpose: 

The purpose of this research study is to test interview techniques for use when questioning criminal suspects or intelligence sources.

 

Procedures:  

If you volunteer to participate in this research study, we will ask you to do the following:

 

You will be asked to take part in an online study where you will be watch video clips. You will be asked to imagine that you are the first person in the video that’s performing several activities. After these watching the clips, you will be interviewed. You may be asked to lie during this interview. After the interview, you will be asked to complete questionnaires about your experiences in the study.

 

The interview will be recorded. You will be given an opportunity to listen to this recording, and you will be given the opportunity to delete the file. If you withdraw from the study, we will delete your recording. All recordings will be stored in a locked data storage room or password protected hard drive. Only members of the research team will have access to the recordings. Recordings will be used only for research purposes (e.g., data coding).

 

We cannot tell you every detail of this study ahead of time, but if you are willing to participate under these conditions we will explain the procedures to you fully after your participation.

 

 

Time Commitment:

Your participation in this research study is expected to last for a total of 60 minutes.

 

Potential Risks or Discomforts: 

 
Participants may experience some stress during the interview.  

 
 

Potential Benefits: 
 

 
You will not directly benefit from your participation in this research study.

 
This study may provide valuable information about how police and military personnel can question suspects in an effective manner.

 
 

Payment for Participation: 
 

 

You will be paid £7.75 for your participation.
 

 
 

Confidentiality: 
 

We will make our best efforts to maintain confidentiality of any information that is collected during this research study. We will disclose this information only with your permission or as required by law.

 

We will protect your confidentiality by ensuring that your name and other identifying information is not be present on any of the questionnaires for this study. All documents and recordings will be stored in a locked data storage room or on a password protected hard drive (for electronic files).

 

The research team, authorized University staff and government agencies that oversee this type of research may have access to research data and records in order to monitor the research. Research records provided to authorized, non-University individuals will not contain identifiable information about you. Publications and/or presentations that result from this study will not identify you by name.
 

 
 

Participants’ Rights: 
 

 
Your participation in this research study is entirely voluntary. If you decide not to participate, there will be no penalty to you, and you will not lose any benefits to which you are otherwise entitled.

 
You can decide to withdraw your consent and stop participating in the research at any time, without any penalty.



 

Contact:

Lina Nyström

PhD Candidate

lina.nystrom@psy.gu.se",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"To begin your mission you first must decide how to
enter the Testudo Ltd. building. You may choose to…","You have successfully entered the Testudo Ltd. building. You enter the elevator to take you to the first stop on your mission.


You will soon watch a clip where you perform the first half of the mission. Please try to imagine that it is you performing the activities shown in the clip. Pay close attention to your surroundings and the tasks you are performing. 
We encourage you to take notes while watching the clip.



You need to enter a password below to continue with the study. Leave this webpage open and return to the Zoom call. Let the experimenter know that you need the password for the page ""goldfish"" and they will provide you with the password.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How confident are you in your ability to convince the interviewer that you are innocent?,How motivated are you to convince the interviewer that you are innocent?,"Please leave this page open when you return to the Zoom call for the interview. 
 

When you have completed the interview you will recieve a password that will allow you to continue with the study.",Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - I am confident the interviewer believed I was innocent.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - It was difficult to convince the interviewer I was innocent.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - The interviewer was suspicious of me.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - The statement I gave the interviewer was convincing.,How much did the interviewer know about your activities before the interview?,How much new information do you think the interviewer learned about your activities from the interview?,"Did you have a strategy for convincing the interviewer
you were innocent?","If you did, please describe your strategy below.",Did you change your strategy during the interview?,"If you did, please describe how and why you changed your strategy below.","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Smooth","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Awkward","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Comfortable","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Difficult","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Open","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Pleasant","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Friendly","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Challenging","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Aggressive","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Sympathetic","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Interested","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Rough",To what extent did you feel engaged with the clips in the study?,Please state your age,Gender,cond
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID35_BROWSER""}","{""ImportId"":""QID35_VERSION""}","{""ImportId"":""QID35_OS""}","{""ImportId"":""QID35_RESOLUTION""}","{""ImportId"":""QID33""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID39_FIRST_CLICK""}","{""ImportId"":""QID39_LAST_CLICK""}","{""ImportId"":""QID39_PAGE_SUBMIT""}","{""ImportId"":""QID39_CLICK_COUNT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID61""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""cond""}"
2023-09-07 16:38:32,2023-09-07 17:05:59,0,5,1646,0,2023-09-07 20:38:34,R_32WSbR8gDXEASpX,anonymous,EN,Firefox,102.0,Windows NT 10.0,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC3A
2023-09-16 12:55:17,2023-09-16 13:46:54,0,100,3097,1,2023-09-16 13:46:55,R_6r2asrnJ4KDsz6N,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,0,0,8.2,0,5.988,24.906,25.748,5,1,bowl,0.692,729.98,774.495,15,5,7,sos,4,4,1,4,3,6,1,"I came up with a perfect, coherent story about the innocent guy in my friend's room.",2,,5,2,5,2,5,5,5,4,1,5,4,1,5,18,1,MC3A
2023-09-16 13:10:50,2023-09-16 14:19:07,0,100,4096,1,2023-09-16 14:19:08,R_2qxGKk2LRQcWbqf,anonymous,EN,Chrome,116.0.0.0,Macintosh,1680x1050,1,0,0,125.821,0,0,0,240.113,0,2,bowl,0,0,735.761,0,2,5,sos,1,5,5,2,6,2,1,"My strategy was to come up with a scenario that I was thinking of applying for a job in the company, and before doing so I wanted to check the premises and get a feeling of the working environment. I would tell them that I learned about open positions from a friend that has an acquaintance in the company (whom I didn't know). That way I could leave this vague and wouldn't have to say that I directly know someone who works at the company.",2,"I didn't change my strategy and tried to stick to it regardless of the questions asked. ",2,4,2,4,3,2,3,5,1,3,5,2,6,38,1,MC3A
2023-09-16 14:57:06,2023-09-16 15:11:53,0,100,886,1,2023-09-16 15:11:54,R_2dio9cKnPi4Vgf2,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,0,0,0.835,0,0.441,0.441,0.635,1,1,bowl,115.582,728.668,735.859,9,5,7,sos,4,4,2,5,6,5,2,,2,,4,2,4,2,4,4,4,4,2,4,4,2,7,18,1,MC3A
2023-09-16 14:11:09,2023-09-16 15:14:23,0,100,3793,1,2023-09-16 15:14:24,R_3iJ5YKrfTfCtKGk,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1366x768,1,6.749,73.957,93.979,21,8.537,220.744,240.199,19,1,bowl,484.613,484.613,743.949,1,4,5,sos,3,4,5,4,5,2,2,,2,,3,4,1,2,4,1,4,4,1,3,4,1,6,23,1,MC3A
2023-09-16 12:57:18,2023-09-16 15:03:41,0,55,7582,0,2023-09-16 16:57:20,R_UJxWsrxNdynEQgx,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1366x768,1,0,0,93.993,0,0,0,200.473,0,2,bowl,0,0,734.612,0,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,MC3A
2023-09-17 13:02:14,2023-09-17 13:40:05,0,100,2271,1,2023-09-17 13:40:06,R_vqseTn7hwQ6MqtP,anonymous,EN,Chrome,117.0.0.0,Windows NT 10.0,1920x1080,1,0,0,34.067,0,0,0,157.687,0,1,bowl,3.403,726.596,732.819,8,2,6,sos,4,2,1,5,2,4,1,"My strategy was to give a motivation for why I was in the building in the first place and give an account that matched up with my activity halfway through, I completely omitted the rest (installing spyware, placing the bug). I said that the phone i picked up in room 540 on the 5th floor was a phone I had left by mistake, and then I was gonna be on my way out but a supposed colleague of mine texted me to wait for them, so I waited in the basement; after that I was supposed to be on my way out but I was stopped by the security guard. ",2,,4,4,2,3,3,3,4,1,1,3,3,1,5,19,1,MC3A
2023-09-17 13:28:43,2023-09-17 14:40:30,0,100,4306,1,2023-09-17 14:40:31,R_1CDYGCDKjIszavK,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,0,0,150.016,0,0,0,240.109,0,1,bowl,18.868,18.868,814.103,1,7,7,sos,5,2,3,5,5,5,1,"At first, I did not want to give the interviewer many details about my whereabouts in the building. A great deal of information is the cause of many questions. But he informed me that there are cameras in the building. So, I admitted to being in places where there were cameras and I made up stories to justify my presence in these places. These stories were not very complex, in order not to raise many questions. On the contrary, I believe that they were short and believable. All in all, I believe that I made a good impression on the interviewer.",1,"Yes, I changed strategy, because he informed me that there were cameras in the building. So, I could not deny being in a certain place. So, I had to make up believable stories to convince him why I was present at that time.",4,2,5,1,5,4,5,2,1,4,4,1,7,36,2,MC3A
