StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,consent,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,entrance,pass_1,timing_mc1a_First Click,timing_mc1a_Last Click,timing_mc1a_Page Submit,timing_mc1a_Click Count,confidence,motivation,pass_4,interview_statements_1,interview_statements_2,interview_statements_3,interview_statements_4,knowledge_before,new_info,strategy,strategy_free,change_strategy,change_strategy_free,interview_adj_1,interview_adj_2,interview_adj_3,interview_adj_4,interview_adj_5,interview_adj_6,interviewer_adj_1,interviewer_adj_2,interviewer_adj_3,interviewer_adj_4,interviewer_adj_5,interviewer_adj_6,engagement,age,gender,cond
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,"The only requirement for participation in this study is that you are an adult (18 years or older). 

 

Purpose: 

The purpose of this research study is to test interview techniques for use when questioning criminal suspects or intelligence sources.

 

Procedures:  

If you volunteer to participate in this research study, we will ask you to do the following:

 

You will be asked to take part in an online study where you will be watch video clips. You will be asked to imagine that you are the first person in the video that’s performing several activities. After these watching the clips, you will be interviewed via Zoom. You may be asked to lie during this interview. After the interview, you will be asked to complete questionnaires about your experiences in the study.

 

The interview will be recorded. You will be given an opportunity to listen to this recording, and you will be given the opportunity to delete the file. If you withdraw from the study, we will delete your recording. All recordings will be stored in a locked data storage room or password protected hard drive. Only members of the research team will have access to the recordings. Recordings will be used only for research purposes (e.g., data coding).

 

We cannot tell you every detail of this study ahead of time, but if you are willing to participate under these conditions we will explain the procedures to you fully after your participation.

 

 

Time Commitment:

Your participation in this research study is expected to last for a total of 60 minutes.

 

Potential Risks or Discomforts: 

 
Participants may experience some stress during the interview.  

 
 

Potential Benefits: 
 

 
You will not directly benefit from your participation in this research study.

 
This study may provide valuable information about how police and military personnel can question suspects in an effective manner.

 
 

Payment for Participation: 
 

 

You will be paid £7.75 for your participation. 
 

 
 

Confidentiality: 
 

We will make our best efforts to maintain confidentiality of any information that is collected during this research study. We will disclose this information only with your permission or as required by law.

 

We will protect your confidentiality by ensuring that your name and other identifying information is not be present on any of the questionnaires for this study. All documents and recordings will be stored in a locked data storage room or on a password protected hard drive (for electronic files).

 

The research team, authorized University staff and government agencies that oversee this type of research may have access to research data and records in order to monitor the research. Research records provided to authorized, non-University individuals will not contain identifiable information about you. Publications and/or presentations that result from this study will not identify you by name.
 

 
 

Participants’ Rights: 
 

 
Your participation in this research study is entirely voluntary. If you decide not to participate, there will be no penalty to you, and you will not lose any benefits to which you are otherwise entitled.

 
You can decide to withdraw your consent and stop participating in the research at any time, without any penalty.



 

Contact:

Lina Nyström

PhD Candidate

lina.nystrom@psy.gu.se",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,To begin your mission you first must decide how to enter the Boyle Group building. You may choose to…,"You have successfully entered the Boyle Group building. You enter the elevator to take you to the first stop on your mission.

 

 

You will soon watch a clip where you perform the mission. Please try to imagine that it is you performing the activities shown in the clip. Pay close attention to your surroundings and the tasks you are performing. 

 

We encourage you to take notes while watching the clip.

 

You need to enter a password below to continue with the study. Leave this webpage open and return to the Zoom call. Let the experimenter know that you need the password for the page ""goldfish"" and they will provide you with the password.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How confident are you in your ability to convince the interviewer that you are innocent?,How motivated are you to convince the interviewer that you are innocent?,"Please leave this page open when you return to the Zoom call for the interview. 
 

When you have completed the interview you will receive a password that will allow you to continue with the study.",Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - I am confident the interviewer believed I was innocent.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - It was difficult to convince the interviewer I was innocent.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - The interviewer was suspicious of me.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - The statement I gave the interviewer was convincing.,How much did the interviewer know about your activities before the interview?,How much new information do you think the interviewer learned about your activities from the interview?,"Did you have a strategy for convincing the interviewer
you were innocent?","If you did, please describe your strategy below.",Did you change your strategy during the interview?,"If you did, please describe how and why you changed your strategy below.","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Smooth","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Awkward","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Comfortable","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Difficult","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Open","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Pleasant","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Friendly","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Challenging","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Aggressive","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Sympathetic","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Interested","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Rough",To what extent did you feel engaged with the clips in the study?,Please state your age,Gender,cond
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID35_BROWSER""}","{""ImportId"":""QID35_VERSION""}","{""ImportId"":""QID35_OS""}","{""ImportId"":""QID35_RESOLUTION""}","{""ImportId"":""QID33""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID39_FIRST_CLICK""}","{""ImportId"":""QID39_LAST_CLICK""}","{""ImportId"":""QID39_PAGE_SUBMIT""}","{""ImportId"":""QID39_CLICK_COUNT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID58""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""cond""}"
2023-09-16 12:57:18,2023-09-16 13:42:41,0,100,2722,1,2023-09-16 13:42:41,R_27HfviQlKBj2E4Y,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1600x900,1,9.348,60.279,61.265,2,3.061,18.089,240.01,2,2,bowl,931.005,931.005,932.262,1,1,7,sos,1,5,4,2,7,3,2,,2,,2,4,1,4,2,1,2,4,1,2,4,3,6,48,2,MC1A
2023-09-17 10:11:12,2023-09-17 10:50:56,0,100,2383,1,2023-09-17 10:50:56,R_25yYOxqbf8xWE62,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1366x768,1,83.062,91.303,97.273,3,103.811,114.803,159.579,3,2,bowl,487.91,939.101,940.956,2,7,7,sos,4,2,1,4,4,5,2,,2,,5,1,5,1,4,5,5,1,3,4,3,1,6,32,1,MC1A
2023-09-17 10:48:36,2023-09-17 11:41:03,0,100,3146,1,2023-09-17 11:41:04,R_238lXt4CbhTBX1h,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1366x768,1,0,0,150.016,0,0,0,240.022,0,2,bowl,0,0,935.687,0,2,2,SOS,2,5,5,3,5,3,1,"Deny, deny and deny",2,,3,4,4,4,4,3,4,4,2,3,4,2,7,27,2,MC1A
2023-09-17 12:43:17,2023-09-17 13:37:32,0,100,3254,1,2023-09-17 13:37:33,R_3nC2NEcx7RtHuT7,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,25.99,97.226,101.201,64,21.986,117.477,122.032,51,2,bowl,4.232,462.508,933.17,4,3,6,sos,4,4,5,4,3,1,1,I pretended to be an employ of the building giving information about my employment at the company and the location of my office. If there were cameras(I didnt notice any ) I'm doomed as I pretended to be in my office. Also I can probably be identified as not being the owner of the office I said I was.,2,,4,4,2,5,2,2,4,4,2,3,4,3,6,21,1,MC1A
2023-09-17 13:19:26,2023-09-17 14:30:28,0,100,4262,1,2023-09-17 14:30:29,R_1gkxQTdoFMao6Vt,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,51.14,109.527,121.54,2,32.879,184.503,189.813,4,1,bowl,6.287,930.902,932.326,2,3,6,sos,3,4,4,3,4,5,1,I wanted to look as if I was there on a family matter and have nothing to do with a company,2,,4,3,3,3,2,2,2,3,2,2,4,2,5,50,2,MC1A
2023-09-17 10:56:26,2023-09-17 12:21:51,0,38,5125,0,2023-09-17 14:56:27,R_UiSpP8mUa2BIFUt,anonymous,EN,Firefox,117.0,Windows NT 10.0,2560x1440,1,137.162,137.738,150.018,2,8.594,31.425,240.021,3,1,bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC1A
2023-09-21 11:53:52,2023-09-21 12:41:26,0,100,2853,1,2023-09-21 12:41:27,R_2VBCgr7Hf4qUcl3,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1366x768,1,5.824,39.249,46.471,3,2.811,197.881,198.547,3,1,bowl,5.19,8.839,1727.479,3,4,6,sos,2,3,4,3,3,6,1,"i have sent you a message concerning missed in for/strategy ",2,,4,3,3,2,4,3,4,4,2,3,4,1,6,48,1,MC1A
2023-09-26 12:08:29,2023-09-26 12:41:01,0,100,1952,1,2023-09-26 12:41:02,R_2cucGWXpnNz4QDb,anonymous,EN,Safari,15.3,Macintosh,2560x1440,1,0,0,39.76,0,0,0,70.842,0,1,bowl,204.993,204.993,931.487,1,1,5,sos,5,2,4,4,1,5,2,,1,I started asking questions regarding the evidence they had on me.,5,2,4,4,3,4,4,5,1,4,4,2,7,25,2,MC1A
