"id","condition","mc_sequence","stage","detail","interview","activity","critical","interviewee","sos_training"
1,"Basic","3 4 6 1","int1_st1",0,0,0,0,"1_0",0
1,"Basic","3 4 6 1","int1_st2",1,0,1,0,"1_0",0
1,"Basic","3 4 6 1","int1_st3",1,0,2,0,"1_0",0
1,"Basic","3 4 6 1","int1_st4",0,0,3,0,"1_0",0
1,"Basic","3 4 6 1","int1_st5",0,0,4,1,"1_0",0
1,"Basic","3 4 6 1","int1_st6",0,0,5,1,"1_0",0
1,"Basic","3 4 6 1","int2_st1",0,1,0,0,"1_1",0
1,"Basic","3 4 6 1","int2_st2",4,1,1,0,"1_1",0
1,"Basic","3 4 6 1","int2_st3",2,1,2,0,"1_1",0
1,"Basic","3 4 6 1","int2_st4",1,1,3,0,"1_1",0
1,"Basic","3 4 6 1","int2_st5",0,1,4,1,"1_1",0
1,"Basic","3 4 6 1","int2_st6",0,1,5,1,"1_1",0
1,"Basic","3 4 6 1","int3_st1",3,2,0,0,"1_2",0
1,"Basic","3 4 6 1","int3_st2",1,2,1,0,"1_2",0
1,"Basic","3 4 6 1","int3_st3",1,2,2,0,"1_2",0
1,"Basic","3 4 6 1","int3_st4",0,2,3,0,"1_2",0
1,"Basic","3 4 6 1","int3_st5",0,2,4,1,"1_2",0
1,"Basic","3 4 6 1","int3_st6",1,2,5,1,"1_2",0
1,"Basic","3 4 6 1","int4_st1",0,3,0,0,"1_3",0
1,"Basic","3 4 6 1","int4_st2",1,3,1,0,"1_3",0
1,"Basic","3 4 6 1","int4_st3",1,3,2,0,"1_3",0
1,"Basic","3 4 6 1","int4_st4",0,3,3,0,"1_3",0
1,"Basic","3 4 6 1","int4_st5",0,3,4,1,"1_3",0
1,"Basic","3 4 6 1","int4_st6",0,3,5,1,"1_3",0
1,"Basic","3 4 6 1","int5_st1",NA,4,0,0,"1_4",0
1,"Basic","3 4 6 1","int5_st2",NA,4,1,0,"1_4",0
1,"Basic","3 4 6 1","int5_st3",NA,4,2,0,"1_4",0
1,"Basic","3 4 6 1","int5_st4",NA,4,3,0,"1_4",0
1,"Basic","3 4 6 1","int5_st5",NA,4,4,1,"1_4",0
1,"Basic","3 4 6 1","int5_st6",NA,4,5,1,"1_4",0
1,"Basic","3 4 6 1","int6_st1",NA,5,0,0,"1_5",0
1,"Basic","3 4 6 1","int6_st2",NA,5,1,0,"1_5",0
1,"Basic","3 4 6 1","int6_st3",NA,5,2,0,"1_5",0
1,"Basic","3 4 6 1","int6_st4",NA,5,3,0,"1_5",0
1,"Basic","3 4 6 1","int6_st5",NA,5,4,1,"1_5",0
1,"Basic","3 4 6 1","int6_st6",NA,5,5,1,"1_5",0
2,"Basic","2 4 5 1","int1_st1",4,0,0,0,"2_0",0
2,"Basic","2 4 5 1","int1_st2",2,0,1,0,"2_0",0
2,"Basic","2 4 5 1","int1_st3",0,0,2,0,"2_0",0
2,"Basic","2 4 5 1","int1_st4",3,0,3,0,"2_0",0
2,"Basic","2 4 5 1","int1_st5",0,0,4,1,"2_0",0
2,"Basic","2 4 5 1","int1_st6",0,0,5,1,"2_0",0
2,"Basic","2 4 5 1","int2_st1",0,1,0,0,"2_1",0
2,"Basic","2 4 5 1","int2_st2",0,1,1,0,"2_1",0
2,"Basic","2 4 5 1","int2_st3",1,1,2,0,"2_1",0
2,"Basic","2 4 5 1","int2_st4",0,1,3,0,"2_1",0
2,"Basic","2 4 5 1","int2_st5",0,1,4,1,"2_1",0
2,"Basic","2 4 5 1","int2_st6",0,1,5,1,"2_1",0
2,"Basic","2 4 5 1","int3_st1",1,2,0,0,"2_2",0
2,"Basic","2 4 5 1","int3_st2",0,2,1,0,"2_2",0
2,"Basic","2 4 5 1","int3_st3",5,2,2,0,"2_2",0
2,"Basic","2 4 5 1","int3_st4",1,2,3,0,"2_2",0
2,"Basic","2 4 5 1","int3_st5",0,2,4,1,"2_2",0
2,"Basic","2 4 5 1","int3_st6",0,2,5,1,"2_2",0
2,"Basic","2 4 5 1","int4_st1",5,3,0,0,"2_3",0
2,"Basic","2 4 5 1","int4_st2",2,3,1,0,"2_3",0
2,"Basic","2 4 5 1","int4_st3",0,3,2,0,"2_3",0
2,"Basic","2 4 5 1","int4_st4",2,3,3,0,"2_3",0
2,"Basic","2 4 5 1","int4_st5",1,3,4,1,"2_3",0
2,"Basic","2 4 5 1","int4_st6",0,3,5,1,"2_3",0
2,"Basic","2 4 5 1","int5_st1",NA,4,0,0,"2_4",0
2,"Basic","2 4 5 1","int5_st2",NA,4,1,0,"2_4",0
2,"Basic","2 4 5 1","int5_st3",NA,4,2,0,"2_4",0
2,"Basic","2 4 5 1","int5_st4",NA,4,3,0,"2_4",0
2,"Basic","2 4 5 1","int5_st5",NA,4,4,1,"2_4",0
2,"Basic","2 4 5 1","int5_st6",NA,4,5,1,"2_4",0
2,"Basic","2 4 5 1","int6_st1",NA,5,0,0,"2_5",0
2,"Basic","2 4 5 1","int6_st2",NA,5,1,0,"2_5",0
