"ID","Interview_nr","INT","Free_recall","Guilt_presumption","Funnel_structure","Challenge_inconsistencies","Request_explanation","Reinforce_truth","Supportive_transistions","Leading_questions","condition","sos_training","FR","GP","FS","CI","RE","RT","ST","LQ","Predicted_class_M3"
1,1,4,1,4,2,0,0,0,0,3,"Basic",0,2,5,3,1,1,1,1,4,1
1,2,3,0,1,0,0,0,0,0,3,"Basic",0,1,2,1,1,1,1,1,4,4
1,3,3,0,3,1,0,0,0,0,2,"Basic",0,1,4,2,1,1,1,1,3,4
1,4,4,0,2,0,0,0,0,0,3,"Basic",0,1,3,1,1,1,1,1,4,4
2,1,3,1,4,2,0,0,0,0,4,"Basic",0,2,5,3,1,1,1,1,5,1
2,2,4,1,4,2,0,0,0,0,4,"Basic",0,2,5,3,1,1,1,1,5,1
2,3,3,1,4,2,0,0,0,0,4,"Basic",0,2,5,3,1,1,1,1,5,1
2,4,3,1,4,3,0,0,0,0,3,"Basic",0,2,5,4,1,1,1,1,4,1
3,1,3,1,4,4,4,3,0,3,3,"SoS",1,2,5,5,5,4,1,4,4,3
3,2,3,1,4,3,2,2,0,3,3,"SoS",1,2,5,4,3,3,1,4,4,3
3,3,3,1,4,3,4,3,2,4,3,"SoS",1,2,5,4,5,4,3,5,4,3
3,4,4,1,4,3,3,3,2,3,3,"SoS",1,2,5,4,4,4,3,4,4,3
4,1,4,1,4,0,0,0,0,0,1,"Basic",0,2,5,1,1,1,1,1,2,1
4,2,3,1,2,0,0,0,0,0,1,"Basic",0,2,3,1,1,1,1,1,2,4
4,3,3,1,1,1,0,0,0,0,1,"Basic",0,2,2,2,1,1,1,1,2,4
4,4,NA,NA,3,0,1,0,0,0,0,"Basic",0,NA,4,1,2,1,1,1,1,4
5,1,4,1,4,3,0,0,0,2,4,"Basic",0,2,5,4,1,1,1,3,5,1
5,2,4,1,4,3,2,1,0,1,4,"Basic",0,2,5,4,3,2,1,2,5,2
5,3,4,1,4,2,1,0,0,0,4,"Basic",0,2,5,3,2,1,1,1,5,2
5,4,3,1,4,3,3,2,0,1,4,"Basic",0,2,5,4,4,3,1,2,5,3
6,1,4,1,4,1,0,0,0,0,4,"Basic",0,2,5,2,1,1,1,1,5,1
6,2,4,1,4,2,0,0,0,0,4,"Basic",0,2,5,3,1,1,1,1,5,1
7,1,4,1,3,2,0,0,0,1,2,"SoS",1,2,4,3,1,1,1,2,3,2
7,2,4,1,4,2,0,0,0,0,1,"SoS",1,2,5,3,1,1,1,1,2,1
7,3,4,1,4,1,0,0,0,1,2,"SoS",1,2,5,2,1,1,1,2,3,2
7,4,4,1,4,1,0,0,0,0,1,"SoS",1,2,5,2,1,1,1,1,2,1
8,1,4,1,4,2,0,0,0,0,3,"Basic",0,2,5,3,1,1,1,1,4,1
8,2,3,1,4,4,0,0,0,0,3,"Basic",0,2,5,5,1,1,1,1,4,1
8,3,3,1,4,3,0,0,0,0,3,"Basic",0,2,5,4,1,1,1,1,4,1
8,4,2,1,4,3,0,0,0,0,3,"Basic",0,2,5,4,1,1,1,1,4,1
9,1,3,1,4,1,1,1,0,2,2,"SoS",1,2,5,2,2,2,1,3,3,2
9,2,3,1,3,1,0,1,0,0,3,"SoS",1,2,4,2,1,2,1,1,4,2
9,3,3,1,4,3,1,2,0,2,3,"SoS",1,2,5,4,2,3,1,3,4,3
9,4,3,1,3,3,0,3,0,2,3,"SoS",1,2,4,4,1,4,1,3,4,3
10,1,4,1,3,2,1,1,0,1,4,"SoS",1,2,4,3,2,2,1,2,5,2
10,2,4,1,4,1,0,1,0,0,4,"SoS",1,2,5,2,1,2,1,1,5,2
10,3,4,1,4,2,2,1,0,0,3,"SoS",1,2,5,3,3,2,1,1,4,2
10,4,4,1,4,3,2,1,1,1,4,"SoS",1,2,5,4,3,2,2,2,5,2
11,1,3,1,4,0,0,0,0,0,4,"SoS-Delay",0,2,5,1,1,1,1,1,5,1
11,2,3,1,4,0,0,0,0,0,3,"SoS-Delay",0,2,5,1,1,1,1,1,4,1
11,3,3,0,3,2,1,1,0,1,4,"SoS-Delay",1,1,4,3,2,2,1,2,5,2
11,4,4,1,4,1,2,1,0,1,4,"SoS-Delay",1,2,5,2,3,2,1,2,5,2
12,1,3,1,4,1,0,0,0,0,4,"Basic",0,2,5,2,1,1,1,1,5,1
12,2,4,1,4,1,2,2,0,0,4,"Basic",0,2,5,2,3,3,1,1,5,2
12,3,3,1,4,1,0,0,0,0,3,"Basic",0,2,5,2,1,1,1,1,4,1
12,4,4,1,4,2,0,0,0,0,3,"Basic",0,2,5,3,1,1,1,1,4,1
13,1,4,1,4,2,0,0,0,0,3,"SoS-Delay",0,2,5,3,1,1,1,1,4,1
13,2,3,1,4,2,0,0,0,0,3,"SoS-Delay",0,2,5,3,1,1,1,1,4,1
13,3,4,1,4,4,1,1,2,2,4,"SoS-Delay",1,2,5,5,2,2,3,3,5,3
13,4,4,1,4,3,2,3,0,2,3,"SoS-Delay",1,2,5,4,3,4,1,3,4,3
14,1,4,1,4,4,0,0,0,0,4,"SoS-Delay",0,2,5,5,1,1,1,1,5,1
14,2,4,0,4,4,0,0,0,0,4,"SoS-Delay",0,1,5,5,1,1,1,1,5,1
14,3,4,1,4,4,2,3,0,3,3,"SoS-Delay",1,2,5,5,3,4,1,4,4,3
14,4,4,1,4,4,2,2,0,4,4,"SoS-Delay",1,2,5,5,3,3,1,5,5,3
15,1,3,1,4,1,0,1,0,0,2,"SoS",1,2,5,2,1,2,1,1,3,2
15,2,3,1,2,2,0,0,0,0,1,"SoS",1,2,3,3,1,1,1,1,2,4
15,3,3,0,3,1,0,0,0,0,2,"SoS",1,1,4,2,1,1,1,1,3,4
15,4,3,1,2,2,0,0,0,0,1,"SoS",1,2,3,3,1,1,1,1,2,4
16,1,4,1,3,2,0,2,0,2,3,"Basic",0,2,4,3,1,3,1,3,4,2
16,2,3,1,4,2,0,1,0,0,3,"Basic",0,2,5,3,1,2,1,1,4,2
16,3,4,0,4,2,0,2,0,0,3,"Basic",0,1,5,3,1,3,1,1,4,1
16,4,4,1,4,2,0,0,0,0,3,"Basic",0,2,5,3,1,1,1,1,4,1
17,1,4,1,4,2,0,2,0,2,2,"SoS-Delay",0,2,5,3,1,3,1,3,3,2
17,2,3,1,2,1,1,1,0,0,2,"SoS-Delay",0,2,3,2,2,2,1,1,3,2
17,3,3,1,4,3,3,3,0,3,3,"SoS-Delay",1,2,5,4,4,4,1,4,4,3
17,4,3,1,4,2,3,0,0,3,3,"SoS-Delay",1,2,5,3,4,1,1,4,4,1
18,1,4,1,4,4,4,4,0,3,4,"SoS",1,2,5,5,5,5,1,4,5,3
18,2,4,1,4,2,3,0,0,0,4,"SoS",1,2,5,3,4,1,1,1,5,1
18,3,4,1,4,4,3,4,0,4,4,"SoS",1,2,5,5,4,5,1,5,5,3
18,4,4,1,3,3,4,4,0,4,3,"SoS",1,2,4,4,5,5,1,5,4,3
19,1,4,0,2,2,0,1,0,0,2,"SoS",1,1,3,3,1,2,1,1,3,2
19,2,3,0,2,2,0,0,0,0,2,"SoS",1,1,3,3,1,1,1,1,3,4
19,3,1,0,3,0,1,0,0,0,3,"SoS",1,1,4,1,2,1,1,1,4,4
19,4,3,0,4,2,0,0,0,1,2,"SoS",1,1,5,3,1,1,1,2,3,2
20,1,4,1,4,2,0,0,0,0,3,"SoS-Delay",0,2,5,3,1,1,1,1,4,1
20,2,4,1,4,2,0,0,0,0,3,"SoS-Delay",0,2,5,3,1,1,1,1,4,1
20,3,4,1,4,2,1,1,0,3,3,"SoS-Delay",1,2,5,3,2,2,1,4,4,2
20,4,4,1,4,3,3,1,1,3,4,"SoS-Delay",1,2,5,4,4,2,2,4,5,3
21,1,3,1,4,0,0,0,0,0,4,"Basic",0,2,5,1,1,1,1,1,5,1
21,2,3,1,4,1,0,0,0,0,4,"Basic",0,2,5,2,1,1,1,1,5,1
21,3,3,0,3,2,0,0,0,0,2,"Basic",0,1,4,3,1,1,1,1,3,4
21,4,3,0,4,1,0,0,0,0,4,"Basic",0,1,5,2,1,1,1,1,5,1
22,1,4,1,4,3,0,0,0,0,3,"SoS-Delay",0,2,5,4,1,1,1,1,4,1
22,2,4,1,4,1,0,0,0,0,2,"SoS-Delay",0,2,5,2,1,1,1,1,3,1
22,3,4,1,3,2,1,2,0,1,2,"SoS-Delay",1,2,4,3,2,3,1,2,3,2
22,4,4,1,2,3,2,4,0,1,2,"SoS-Delay",1,2,3,4,3,5,1,2,3,2
23,1,4,1,4,3,2,3,0,1,3,"SoS",1,2,5,4,3,4,1,2,4,3
23,2,4,1,4,3,1,3,0,2,3,"SoS",1,2,5,4,2,4,1,3,4,3
23,3,4,1,4,3,3,4,0,4,3,"SoS",1,2,5,4,4,5,1,5,4,3
23,4,3,0,4,3,3,4,0,1,3,"SoS",1,1,5,4,4,5,1,2,4,3
24,1,3,1,4,3,0,0,0,0,3,"Basic",0,2,5,4,1,1,1,1,4,1
24,2,3,0,4,2,0,0,0,0,3,"Basic",0,1,5,3,1,1,1,1,4,1
24,3,4,1,4,3,1,1,0,0,3,"Basic",0,2,5,4,2,2,1,1,4,2
24,4,3,1,3,2,0,0,0,0,2,"Basic",0,2,4,3,1,1,1,1,3,4
25,1,4,0,4,1,0,0,0,0,3,"SoS",1,1,5,2,1,1,1,1,4,1
25,2,2,0,2,1,0,0,0,0,0,"SoS",1,1,3,2,1,1,1,1,1,4
25,3,2,0,2,2,0,0,0,0,0,"SoS",1,1,3,3,1,1,1,1,1,4
25,4,3,0,3,1,0,0,0,0,1,"SoS",1,1,4,2,1,1,1,1,2,4
26,1,4,1,4,2,0,0,0,0,3,"SoS-Delay",0,2,5,3,1,1,1,1,4,1
26,2,4,1,4,1,0,0,0,0,3,"SoS-Delay",0,2,5,2,1,1,1,1,4,1
26,3,4,1,4,1,0,0,1,1,2,"SoS-Delay",1,2,5,2,1,1,2,2,3,2
26,4,4,1,4,3,0,0,2,2,4,"SoS-Delay",1,2,5,4,1,1,3,3,5,1
27,1,3,1,4,2,0,0,0,0,2,"SoS-Delay",0,2,5,3,1,1,1,1,3,1
27,2,3,1,4,2,0,0,0,0,3,"SoS-Delay",0,2,5,3,1,1,1,1,4,1
27,3,3,1,4,3,0,1,0,1,3,"SoS-Delay",1,2,5,4,1,2,1,2,4,2
27,4,3,1,4,1,0,0,0,1,2,"SoS-Delay",1,2,5,2,1,1,1,2,3,2
28,1,3,1,2,3,0,2,0,0,2,"SoS",1,2,3,4,1,3,1,1,3,2
28,2,3,1,4,2,2,0,0,1,2,"SoS",1,2,5,3,3,1,1,2,3,2
28,3,3,0,3,3,1,2,0,2,1,"SoS",1,1,4,4,2,3,1,3,2,3
28,4,2,1,2,2,0,2,0,3,1,"SoS",1,2,3,3,1,3,1,4,2,4
