StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,consent,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,entrance,pass_1,timing_mc1a_First Click,timing_mc1a_Last Click,timing_mc1a_Page Submit,timing_mc1a_Click Count,confidence,motivation,pass_4,interview_statements_1,interview_statements_2,interview_statements_3,interview_statements_4,knowledge_before,new_info,strategy,strategy_free,change_strategy,change_strategy_free,interview_adj_1,interview_adj_2,interview_adj_3,interview_adj_4,interview_adj_5,interview_adj_6,interviewer_adj_1,interviewer_adj_2,interviewer_adj_3,interviewer_adj_4,interviewer_adj_5,interviewer_adj_6,engagement,age,gender,cond
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,"The only requirement for participation in this study is that you are an adult (18 years or older). 

 

Purpose: 

The purpose of this research study is to test interview techniques for use when questioning criminal suspects or intelligence sources.

 

Procedures:  

If you volunteer to participate in this research study, we will ask you to do the following:

 

You will be asked to take part in an online study where you will be watch video clips. You will be asked to imagine that you are the first person in the video that’s performing several activities. After these watching the clips, you will be interviewed via Zoom. You may be asked to lie during this interview. After the interview, you will be asked to complete questionnaires about your experiences in the study.

 

The interview will be recorded. You will be given an opportunity to listen to this recording, and you will be given the opportunity to delete the file. If you withdraw from the study, we will delete your recording. All recordings will be stored in a locked data storage room or password protected hard drive. Only members of the research team will have access to the recordings. Recordings will be used only for research purposes (e.g., data coding).

 

We cannot tell you every detail of this study ahead of time, but if you are willing to participate under these conditions we will explain the procedures to you fully after your participation.

 

 

Time Commitment:

Your participation in this research study is expected to last for a total of 60 minutes.

 

Potential Risks or Discomforts: 

 
Participants may experience some stress during the interview.  

 
 

Potential Benefits: 
 

 
You will not directly benefit from your participation in this research study.

 
This study may provide valuable information about how police and military personnel can question suspects in an effective manner.

 
 

Payment for Participation: 
 

 

You will be paid £7.75 for your participation. 
 

 
 

Confidentiality: 
 

We will make our best efforts to maintain confidentiality of any information that is collected during this research study. We will disclose this information only with your permission or as required by law.

 

We will protect your confidentiality by ensuring that your name and other identifying information is not be present on any of the questionnaires for this study. All documents and recordings will be stored in a locked data storage room or on a password protected hard drive (for electronic files).

 

The research team, authorized University staff and government agencies that oversee this type of research may have access to research data and records in order to monitor the research. Research records provided to authorized, non-University individuals will not contain identifiable information about you. Publications and/or presentations that result from this study will not identify you by name.
 

 
 

Participants’ Rights: 
 

 
Your participation in this research study is entirely voluntary. If you decide not to participate, there will be no penalty to you, and you will not lose any benefits to which you are otherwise entitled.

 
You can decide to withdraw your consent and stop participating in the research at any time, without any penalty.



 

Contact:

Lina Nyström

PhD Candidate

lina.nystrom@psy.gu.se",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,To begin your mission you first must decide how to enter the Walter and Sons building. You may choose to…,"You have successfully entered the Walter and Sons building. You enter the elevator to take you to the first stop on your mission.

 

 

You will soon watch a clip where you perform the mission. Please try to imagine that it is you performing the activities shown in the clip. Pay close attention to your surroundings and the tasks you are performing. 

 

We encourage you to take notes while watching the clip.

 

You need to enter a password below to continue with the study. Leave this webpage open and return to the Zoom call. Let the experimenter know that you need the password for the page ""goldfish"" and they will provide you with the password.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How confident are you in your ability to convince the interviewer that you are innocent?,How motivated are you to convince the interviewer that you are innocent?,"Please leave this page up when you return to the Zoom call for the interview. 
 

When you have completed the interview you will receive a password that will allow you to continue with the study.",Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - I am confident the interviewer believed I was innocent.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - It was difficult to convince the interviewer I was innocent.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - The interviewer was suspicious of me.,Below is a list of statements that could describe the interview. Please indicate the extent to which you agree with each statement. - The statement I gave the interviewer was convincing.,How much did the interviewer know about your activities before the interview?,How much new information do you think the interviewer learned about your activities from the interview?,"Did you have a strategy for convincing the interviewer
you were innocent?","If you did, please describe your strategy below.",Did you change your strategy during the interview?,"If you did, please describe how and why you changed your strategy below.","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Smooth","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Awkward","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Comfortable","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Difficult","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Open","Below is a list of adjectives that could
describe the interview. Please mark the extent to which you agree with
each statement by choosing one of the options. - Pleasant","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Friendly","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Challenging","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Aggressive","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Sympathetic","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Interested","Below is a list of adjectives that could
describe the interviewer. Please mark the extent to which you agree with
each statement by choosing one of the options. - Rough",To what extent did you feel engaged with the clips in the study?,Please state your age,Gender,cond
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID35_BROWSER""}","{""ImportId"":""QID35_VERSION""}","{""ImportId"":""QID35_OS""}","{""ImportId"":""QID35_RESOLUTION""}","{""ImportId"":""QID33""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID39_FIRST_CLICK""}","{""ImportId"":""QID39_LAST_CLICK""}","{""ImportId"":""QID39_PAGE_SUBMIT""}","{""ImportId"":""QID39_CLICK_COUNT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID58""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""cond""}"
2023-09-16 16:23:19,2023-09-16 17:20:36,0,100,3437,1,2023-09-16 17:20:38,R_3KAUsoNt20aGQJB,anonymous,EN,Firefox,117.0,Windows NT 10.0,1536x864,1,0,0,139.417,0,0,0,210.407,0,2,bowl,80.71,897.441,899.408,4,6,5,sos,4,2,4,3,4,5,1,Learn what the interview knew and work my story around that. Look for convenient facts to back up my innocence.,2,,3,2,4,3,4,3,5,2,3,4,3,4,5,20,1,MC1A
2023-09-17 09:35:51,2023-09-17 10:24:01,0,100,2890,1,2023-09-17 10:24:02,R_3kud55w9X69dP9u,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,18.073,77.485,82.37,4,13.594,69.619,77.377,5,1,Bowl,11.228,909.687,914.417,6,6,6,sos,5,1,1,5,4,6,2,,2,,4,2,3,1,4,4,4,4,1,3,4,1,6,24,2,MC1A
2023-09-17 12:57:41,2023-09-17 13:45:47,0,100,2885,1,2023-09-17 13:45:48,R_Rk05BBVoFxkKTUB,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,0,0,0.955,0,2.888,3.077,18.73,2,1,bowl,0.024,586.501,947.512,14,5,7,sos,2,5,5,3,7,3,2,,2,,3,4,2,4,4,2,3,4,4,2,5,3,6,20,1,MC1A
2023-09-17 13:41:33,2023-09-17 14:14:53,0,100,1999,1,2023-09-17 14:14:54,R_3NDP3Xd7b8qGt26,anonymous,EN,Edge,116.0.1938.81,Windows NT 10.0,1536x864,1,22.242,22.57,38.215,2,54.505,61.444,62.266,2,2,bowl,16.599,710.298,898.948,6,7,7,sos,5,2,1,5,1,3,1,"My strategy consisted in mapping out a believable plan for my activities during the day. As I am a student and since the building contains a library, my story was built around that.",2,,4,2,4,3,4,4,5,1,1,5,4,1,7,25,1,MC1A
2023-09-17 14:11:06,2023-09-17 15:12:23,0,100,3676,1,2023-09-17 15:12:24,R_1E6Sx4pLr4rNEKk,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,0,0,112.693,0,85.524,85.524,240.118,1,1,bowl,903.754,903.754,905.922,1,4,5,SOS,2,3,4,3,5,5,1,Try to look as calm as possible,2,,3,4,2,4,4,4,5,4,1,3,4,2,7,32,1,MC1A
2023-09-17 14:55:28,2023-09-17 15:42:27,0,100,2818,1,2023-09-17 15:42:27,R_3dLog66CKOGsBWE,anonymous,EN,Firefox,117.0,Windows NT 10.0,1366x768,1,3.569,3.569,77.676,1,4.909,231.992,240.126,14,1,bowl,4.987,900.89,902.1,4,6,7,sos,3,4,3,4,5,5,1,"Being tired after OT, caring father, etc.",2,,4,2,3,4,4,4,5,2,2,4,4,2,7,32,1,MC1A
2023-09-24 13:07:03,2023-09-24 14:07:07,0,100,3603,1,2023-09-24 14:07:08,R_SMJ63cE3uX8SjnP,anonymous,EN,Firefox,117.0,Windows NT 10.0,1920x1080,1,18.919,90.538,103.741,10,2.148,231.178,231.656,6,1,bowl,0,0,896.7,0,2,4,sos,1,5,5,1,6,5,2,,1,"At first, I just stated that I went straight to the library to give a book back and then exited the building, then when the interviewer mentioned the CCTV footage, I realized I needed to look and sound a bit absent-minded, forgetting what I did and why. I tried to mention that I went to the kitchen because I was hungry and started to say that I heard some people too. When she mentioned that I went to the basement, I said that it was because I needed a toilette or a place where I could check one thing, basically playing the ""Sorry but it's a bit embarassing"" card.",1,4,2,4,3,2,4,4,1,4,5,2,5,23,1,MC1A
2023-09-24 13:17:31,2023-09-24 14:10:34,0,100,3183,1,2023-09-24 14:10:36,R_2abkow0JpMqkk7e,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1366x768,1,28.607,120.984,122.501,17,17.026,232.548,240.148,20,1,bowl,21.971,969.718,976.905,19,5,5,sos,4,3,2,4,6,2,2,,2,,5,1,4,2,5,5,5,2,1,3,4,1,7,40,2,MC1A
2023-10-26 14:35:40,2023-10-26 15:12:18,0,100,2197,1,2023-10-26 15:12:18,R_3oBAVib1yISOhz8,anonymous,EN,Chrome,116.0.0.0,Windows NT 10.0,1920x1080,1,0,0,90.699,0,0,0,198.643,0,1,bowl,0,0,918.382,0,4,5,sos,2,2,4,3,1,5,2,,1,I started saying that I knew people in the builiding but then I though it was dangerous so I say that I used to meet people there but not anymore.,4,3,4,2,4,3,3,3,1,2,3,2,4,46,2,MC1A
2023-10-31 17:19:32,2023-10-31 18:48:19,0,100,5327,1,2023-10-31 18:48:19,R_C2NrhqXaNuOTTQB,anonymous,EN,Chrome,118.0.0.0,Windows NT 10.0,1366x768,1,0,0,66.002,0,0,0,231.263,0,2,bowl,0,0,961.632,0,7,7,sos,4,1,2,5,5,2,1,I give as little information as possible about my activities while also pointing out things about the environment i liked since it was my first visit to the place.,2,,4,1,5,2,5,5,4,2,1,3,5,1,7,36,1,MC1A
2023-11-02 14:46:41,2023-11-02 15:55:11,0,100,4109,1,2023-11-02 15:55:12,R_2eUKiRIkb4GHWeh,anonymous,EN,Chrome,118.0.0.0,Windows NT 10.0,1366x768,1,95.812,114.331,150.137,3,8.666,20.155,240.071,2,2,Bowl,14.716,95.704,935.2,3,7,7,sos,5,2,4,5,7,5,1,My strategy was to give the interviewer answers they already knew without incriminating my boss.,2,I didn't feel the need to change it,5,4,5,1,4,4,5,5,2,2,5,1,7,33,2,MC1A
2023-11-02 14:58:37,2023-11-02 15:38:35,0,54,2397,0,2023-11-02 18:58:39,R_vSQcEdva00mXIpX,anonymous,EN,Chrome,118.0.0.0,Windows NT 10.0,1920x1080,1,0,0,102.278,0,0,0,240.094,0,1,bowl,0,0,991.855,0,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,MC1A
