"ID","Interview_nr","Introduction","Free_recall","Guilt_presumption","Funnel_structure","Challenge_inconsistencies","Request_explanation","Reinforce_truth","Supportive transistions","Leading_questions","condition","sos_training"
1,1,4,1,4,2,0,0,0,0,3,"Basic",0
1,2,3,0,1,0,0,0,0,0,3,"Basic",0
1,3,3,0,3,1,0,0,0,0,2,"Basic",0
1,4,4,0,2,0,0,0,0,0,3,"Basic",0
2,1,3,1,4,2,0,0,0,0,4,"Basic",0
2,2,4,1,4,2,0,0,0,0,4,"Basic",0
2,3,3,1,4,2,0,0,0,0,4,"Basic",0
2,4,3,1,4,3,0,0,0,0,3,"Basic",0
3,1,3,1,4,4,4,3,0,3,3,"SoS",1
3,2,3,1,4,3,2,2,0,3,3,"SoS",1
3,3,3,1,4,3,4,3,2,4,3,"SoS",1
3,4,4,1,4,3,3,3,2,3,3,"SoS",1
4,1,4,1,4,0,0,0,0,0,1,"Basic",0
4,2,3,1,2,0,0,0,0,0,1,"Basic",0
4,3,3,1,1,1,0,0,0,0,1,"Basic",0
4,4,NA,NA,3,0,1,0,0,0,0,"Basic",0
5,1,4,1,4,3,0,0,0,2,4,"Basic",0
5,2,4,1,4,3,2,1,0,1,4,"Basic",0
5,3,4,1,4,2,1,0,0,0,4,"Basic",0
5,4,3,1,4,3,3,2,0,1,4,"Basic",0
6,1,4,1,4,1,0,0,0,0,4,"Basic",0
6,2,4,1,4,2,0,0,0,0,4,"Basic",0
7,1,4,1,3,2,0,0,0,1,2,"SoS",1
7,2,4,1,4,2,0,0,0,0,1,"SoS",1
7,3,4,1,4,1,0,0,0,1,2,"SoS",1
7,4,4,1,4,1,0,0,0,0,1,"SoS",1
8,1,4,1,4,2,0,0,0,0,3,"Basic",0
8,2,3,1,4,4,0,0,0,0,3,"Basic",0
8,3,3,1,4,3,0,0,0,0,3,"Basic",0
8,4,2,1,4,3,0,0,0,0,3,"Basic",0
9,1,3,1,4,1,1,1,0,2,2,"SoS",1
9,2,3,1,3,1,0,1,0,0,3,"SoS",1
9,3,3,1,4,3,1,2,0,2,3,"SoS",1
9,4,3,1,3,3,0,3,0,2,3,"SoS",1
10,1,4,1,3,2,1,1,0,1,4,"SoS",1
10,2,4,1,4,1,0,1,0,0,4,"SoS",1
10,3,4,1,4,2,2,1,0,0,3,"SoS",1
10,4,4,1,4,3,2,1,1,1,4,"SoS",1
11,1,3,1,4,0,0,0,0,0,4,"SoS-Delay",0
11,2,3,1,4,0,0,0,0,0,3,"SoS-Delay",0
11,3,3,0,3,2,1,1,0,1,4,"SoS-Delay",1
11,4,4,1,4,1,2,1,0,1,4,"SoS-Delay",1
12,1,3,1,4,1,0,0,0,0,4,"Basic",0
12,2,4,1,4,1,2,2,0,0,4,"Basic",0
12,3,3,1,4,1,0,0,0,0,3,"Basic",0
12,4,4,1,4,2,0,0,0,0,3,"Basic",0
13,1,4,1,4,2,0,0,0,0,3,"SoS-Delay",0
13,2,3,1,4,2,0,0,0,0,3,"SoS-Delay",0
13,3,4,1,4,4,1,1,2,2,4,"SoS-Delay",1
13,4,4,1,4,3,2,3,0,2,3,"SoS-Delay",1
14,1,4,1,4,4,0,0,0,0,4,"SoS-Delay",0
14,2,4,0,4,4,0,0,0,0,4,"SoS-Delay",0
14,3,4,1,4,4,2,3,0,3,3,"SoS-Delay",1
14,4,4,1,4,4,2,2,0,4,4,"SoS-Delay",1
15,1,3,1,4,1,0,1,0,0,2,"SoS",1
15,2,3,1,2,2,0,0,0,0,1,"SoS",1
15,3,3,0,3,1,0,0,0,0,2,"SoS",1
15,4,3,1,2,2,0,0,0,0,1,"SoS",1
16,1,4,1,3,2,0,2,0,2,3,"Basic",0
16,2,3,1,4,2,0,1,0,0,3,"Basic",0
16,3,4,0,4,2,0,2,0,0,3,"Basic",0
16,4,4,1,4,2,0,0,0,0,3,"Basic",0
17,1,4,1,4,2,0,2,0,2,2,"SoS-Delay",0
17,2,3,1,2,1,1,1,0,0,2,"SoS-Delay",0
17,3,3,1,4,3,3,3,0,3,3,"SoS-Delay",1
17,4,3,1,4,2,3,0,0,3,3,"SoS-Delay",1
18,1,4,1,4,4,4,4,0,3,4,"SoS",1
18,2,4,1,4,2,3,0,0,0,4,"SoS",1
18,3,4,1,4,4,3,4,0,4,4,"SoS",1
18,4,4,1,3,3,4,4,0,4,3,"SoS",1
19,1,4,0,2,2,0,1,0,0,2,"SoS",1
19,2,3,0,2,2,0,0,0,0,2,"SoS",1
19,3,1,0,3,0,1,0,0,0,3,"SoS",1
19,4,3,0,4,2,0,0,0,1,2,"SoS",1
20,1,4,1,4,2,0,0,0,0,3,"SoS-Delay",0
20,2,4,1,4,2,0,0,0,0,3,"SoS-Delay",0
20,3,4,1,4,2,1,1,0,3,3,"SoS-Delay",1
20,4,4,1,4,3,3,1,1,3,4,"SoS-Delay",1
21,1,3,1,4,0,0,0,0,0,4,"Basic",0
21,2,3,1,4,1,0,0,0,0,4,"Basic",0
21,3,3,0,3,2,0,0,0,0,2,"Basic",0
21,4,3,0,4,1,0,0,0,0,4,"Basic",0
22,1,4,1,4,3,0,0,0,0,3,"SoS-Delay",0
22,2,4,1,4,1,0,0,0,0,2,"SoS-Delay",0
22,3,4,1,3,2,1,2,0,1,2,"SoS-Delay",1
22,4,4,1,2,3,2,4,0,1,2,"SoS-Delay",1
23,1,4,1,4,3,2,3,0,1,3,"SoS",1
23,2,4,1,4,3,1,3,0,2,3,"SoS",1
23,3,4,1,4,3,3,4,0,4,3,"SoS",1
23,4,3,0,4,3,3,4,0,1,3,"SoS",1
24,1,3,1,4,3,0,0,0,0,3,"Basic",0
24,2,3,0,4,2,0,0,0,0,3,"Basic",0
24,3,4,1,4,3,1,1,0,0,3,"Basic",0
24,4,3,1,3,2,0,0,0,0,2,"Basic",0
25,1,4,0,4,1,0,0,0,0,3,"SoS",1
25,2,2,0,2,1,0,0,0,0,0,"SoS",1
25,3,2,0,2,2,0,0,0,0,0,"SoS",1
25,4,3,0,3,1,0,0,0,0,1,"SoS",1
26,1,4,1,4,2,0,0,0,0,3,"SoS-Delay",0
26,2,4,1,4,1,0,0,0,0,3,"SoS-Delay",0
26,3,4,1,4,1,0,0,1,1,2,"SoS-Delay",1
26,4,4,1,4,3,0,0,2,2,4,"SoS-Delay",1
27,1,3,1,4,2,0,0,0,0,2,"SoS-Delay",0
27,2,3,1,4,2,0,0,0,0,3,"SoS-Delay",0
27,3,3,1,4,3,0,1,0,1,3,"SoS-Delay",1
27,4,3,1,4,1,0,0,0,1,2,"SoS-Delay",1
28,1,3,1,2,3,0,2,0,0,2,"SoS",1
28,2,3,1,4,2,2,0,0,1,2,"SoS",1
28,3,3,0,3,3,1,2,0,2,1,"SoS",1
28,4,2,1,2,2,0,2,0,3,1,"SoS",1
29,1,4,0,4,1,0,0,0,0,2,"SoS-Delay",0
29,2,3,0,4,1,0,0,0,0,4,"SoS-Delay",0
29,3,1,1,4,3,1,2,2,3,1,"SoS-Delay",1
29,4,4,1,4,2,0,1,0,3,1,"SoS-Delay",1
30,1,4,1,4,2,0,0,0,0,3,"SoS-Delay",0
30,2,4,1,4,1,0,0,0,0,1,"SoS-Delay",0
30,3,4,1,4,3,2,1,0,0,1,"SoS-Delay",1
30,4,4,1,4,2,2,1,0,0,2,"SoS-Delay",1
31,1,3,1,3,2,0,0,0,0,2,"SoS-Delay",0
31,2,4,1,4,2,0,0,0,0,3,"SoS-Delay",0
31,3,4,1,4,2,1,1,0,0,2,"SoS-Delay",1
31,4,4,1,4,2,2,3,0,0,2,"SoS-Delay",1
